C: Phosphatase	C: Kinase	N: NumberPSM	T: Index	T: Gene	4Hr-AGB1.01	4Hr-AGB1.02	4Hr-AGB1.03	4Hr-AGB1.04	4Hr-AGB1.05	24Hr-AGB1.01	24Hr-AGB1.02	24Hr-AGB1.03	24Hr-AGB1.04	24Hr-AGB1.05	4Hr-Cis.01	4Hr-Cis.02	4Hr-Cis.03	24Hr-Cis.01	24Hr-Cis.02	24Hr-Cis.03
	+	16	Q2M2I8	AAK1	1398743.504	1392166.178	1507472.235	1419252.645	1469608.046	1692588.689	1678452.176	1549530.799	1603841.34	1561498.768	1424969.886	1442160.198	1402724.251	1640495.266	1711464.575	1617013.172
	+	8	P00519	ABL1	395440.1957	377312.4031	406473.0003	375590.2274	319199.7509	325162.1935	303850.0492	274738.5822	262362.136	339370.1148	392980.99	375668.3373	524724.2719	330181.5542	333124.0528	332685.6239
	+	17	P42684	ABL2	868279.5019	828648.0768	802198.6429	828877.8587	862700.3406	717092.6476	777562.9758	758663.1821	809908.8356	737457.3042	798260.4452	840099.1024	856325.6415	770053.9505	723784.1554	803367.1808
	+	8	Q04771	ACVR1	1027566.264	1152551.671	1084576.21	983250.8481	1129693.521	1154390.579	1201995.446	1238875.688	1201412.376	1150556.181	1097660.138	1032922.083	1129145.523	1142687.911	1174650.388	1181345.884
	+	1	P36896	ACVR1B	61889.19773	92265.26501	63823.49531	88592.68736	75757.44212	158277.8667	147576.144	155515.6236	184837.7619	179895.5532	85985.15588	105662.2126	118991.5829	190073.7793	163859.5236	171232.8529
	+	4	Q86TW2	ADCK1	773638.4643	610825.1758	732617.1763	731348.7468	643018.1792	508892.0049	549667.6316	573208.3102	590181.8384	641060.0593	765265.0569	693290.276	662334.2785	662288.3706	579359.7766	707906.8451
	+	7	Q3MIX3	ADCK5	744700.0867	758663.1821	796823.1296	751805.5291	802754.8774	534896.4117	512218.5587	571343.9554	589895.5498	601956.6211	781507.3954	895292.7637	818827.483	585009.2862	552264.5508	662380.1896
	+	20	P31749	AKT1	9758310.781	9104194.824	9664073.524	8834395.561	9247295.113	8002392.717	8181307.523	7318923.32	7911939.699	7348406.474	9225527.668	8945929.759	8537605.084	7686524.536	7347897.139	7545578.071
	+	16	P31751	AKT2	13929112.47	15083835.64	14258313.39	15641765.24	15217204.34	15914075.36	14996266.15	15898639.73	14997305.65	15261569.49	14293937.01	15729832.8	15330484.96	15810722.94	15633094	16240582.02
	+	2	Q9Y243	AKT3	774711.6987	741198.2759	702481.1559	764522.7992	679163.7819	443292.6756	471598.6294	459211.7399	448080.9914	370804.6987	619137.3637	620254.1683	661233.3662	432038.3938	460008.1831	425234.7581
