DMSO.01	DMSO.02	DMSO.03	MK-2206.01	MK-2206.02	MK-2206.03	14H.01	14H.02	14H.03	C: Only identified by site	C: Reverse	C: Potential contaminant	N: Peptides	N: Razor + unique peptides	N: Unique peptides	N: Sequence coverage [%]	N: Unique + razor sequence coverage [%]	N: Unique sequence coverage [%]	N: Mol. weight [kDa]	N: Q-value	N: Score	N: Intensity	N: MS/MS count	T: Protein IDs	T: Majority protein IDs	T: Protein names	T: Gene names	T: id
437068.5364	429470.6454	446283.2084	411747.3959	399933.3319	387490.1199	420836.4089	378097.8185	469739.048				6	6	6	18.7	18.7	18.7	56.919	0	54.873	410970000	11	A0AV96-2;A0AV96	A0AV96-2;A0AV96	RNA-binding protein 47	RBM47	1
3969703.982	3827577.079	3862222.905	3466143.612	3833949.756	4067187.3	4084420.58	3837672.05	3935730.488				10	10	10	22	22	22	64.177	0	56.548	1199500000	23	A0AVF1;A0AVF1-3;A0AVF1-2	A0AVF1;A0AVF1-3;A0AVF1-2	Intraflagellar transport protein 56	TTC26	2
1512915.52	1387541.99	1463508.81	1293635.729	1317525.999	1230829.93	1302633.677	1218099.033	1325862.742				10	10	10	10.7	10.7	10.7	94.165	0	54.506	171500000	11	A0AVK6	A0AVK6	Transcription factor E2F8	E2F8	3
14279083.03	13565134.35	14357487.8	12942383.53	13766896.21	13773577.57	14188315.69	14053245.37	14309798.29				37	37	37	43.4	43.4	43.4	117.97	0	194.26	7999000000	81	A0AVT1;A0AVT1-2;A0AVT1-3;A0AVT1-4	A0AVT1;A0AVT1-2	Ubiquitin-like modifier-activating enzyme 6	UBA6	4
5947698.147	5985747.535	5904567.673	5538638.7	5927120.675	6329236.297	6422039.019	6093332.345	6077303.875				20	20	20	28.6	28.6	28.6	98.9	0	260.06	2977600000	34	A0FGR8-2;A0FGR8;A0FGR8-6;A0FGR8-4;A0FGR8-5	A0FGR8-2;A0FGR8;A0FGR8-6;A0FGR8-4	Extended synaptotagmin-2	ESYT2	5
3341813.984	3674967.345	3389638.525	3177586.57	3327944.631	3205682.248	3253362.161	3136447.536	3301522.392				15	14	14	13.5	13	13	164.2	0	82.344	752620000	27	A0JNW5;A0JNW5-2;Q32M92-2;Q32M92	A0JNW5	UHRF1-binding protein 1-like	UHRF1BP1L	7
42392332.14	40194645.75	43866005.42	38919774.08	40362158.68	38023816.27	40682358.95	39392018.26	40172363.29				33	33	33	49.6	49.6	49.6	71.639	0	323.31	12663000000	91	A0MZ66;A0MZ66-6;A0MZ66-3;A0MZ66-4;A0MZ66-5;A0MZ66-8;A0MZ66-2;A0MZ66-7	A0MZ66;A0MZ66-6;A0MZ66-3;A0MZ66-4;A0MZ66-5;A0MZ66-8;A0MZ66-2	Shootin-1	KIAA1598	9
240487.1029	223095.208	228257.0667	227672.4184	184096.1589	224102.6215	179235.887	217536.8072	259882.5066				2	2	2	5.9	5.9	5.9	40.245	0	72.944	222370000	7	A0PK00	A0PK00	Transmembrane protein 120B	TMEM120B	11
1917373.543	1866235.991	1928970.969	1747910.64	2011443.802	1951159.112	2004484.735	2010050.058	2014792.73				8	8	8	13.1	13.1	13.1	89.374	0	47.633	233760000	12	A1A4S6	A1A4S6	Rho GTPase-activating protein 10	ARHGAP10	12
176450.0117	163825.4535	173948.4141	144009.0547	176437.7815	172292.4551	177394.2842	172017.9987	163745.9842				2	2	2	2.4	2.4	2.4	76.277	0.00095826	2.016	21185000	3	A1IGU5	A1IGU5	Rho guanine nucleotide exchange factor 37	ARHGEF37	14
531864.7875	495147.9017	557649.8468	429530.1868	444307.8175	481507.9191	504082.3797	498764.7565	486540.3734				7	6	6	17.3	15.6	15.6	54.173	0	79.832	362380000	11	A1L020	A1L020	RNA-binding protein MEX3A	MEX3A	16
19580306.33	20065308.48	20045846.42	18290611.84	18275404.47	17354422.24	18698251.08	18002575.73	18103935.32				18	18	18	34.8	34.8	34.8	67.867	0	151.28	7529500000	45	A1L0T0	A1L0T0	Acetolactate synthase-like protein	ILVBL	17
